,url
0,https://t.me/supernova_plus/19687
1,https://t.me/breakingmash/43616
2,https://t.me/ZA_FROHT/16561
3,https://t.me/milchronicles/1846
4,https://t.me/operativnoZSU/94378
5,https://t.me/voenacher/43840
6,https://t.me/rusich_army/8634
7,https://t.me/HersonEnot/1168
8,https://t.me/HersonVestnik/16390
9,https://t.me/WarArchive_ua/934
10,https://t.me/supernova_plus/19720
11,https://t.me/escadrone/211
12,https://t.me/btr80/6727
13,https://t.me/OGSHB_109/271
14,https://t.me/sons_fatherland/10456
15,https://t.me/ZA_FROHT/16489
16,https://t.me/vorposte/39244
17,https://t.me/dva_majors/13976
18,https://t.me/escadrone/206
19,https://t.me/BPLAROSTOV/138
20,https://t.me/MishaDonbass/741
21,https://t.me/nm_dnr/10279
22,https://t.me/LPR_JCCC/8221
23,https://t.me/bro571/121
24,https://t.me/rus_bakhmut/18809
25,https://t.me/lost_warinua/34673
26,https://t.me/ukrnastup/76941
27,https://t.me/ukrnastup/76941
28,https://t.me/HersonEnot/1152
29,https://t.me/ok_spn/24191
30,https://t.me/RVvoenkor/43680
31,https://t.me/milinfolive/99841
32,https://t.me/supernova_plus/19603
33,https://t.me/Bakhmut_2022/20234
34,https://t.me/operatyvnii/7023
35,https://t.me/ttambyl/2496
36,https://t.me/umftteam/85
37,https://t.me/milinfolive/99836
38,https://t.me/nm_dnr/10263
39,https://t.me/voin_dv/2542
40,https://t.me/ssternenko/15429
41,https://t.me/btr80/6611
42,https://t.me/nm_dnr/10253
43,https://t.me/zedigital/3062
44,https://t.me/Bakhmut_2022/20102
45,https://t.me/MishaDonbass/718
46,https://t.me/adamtactic/155
47,https://t.me/DeepStateUA/16410
48,https://t.me/sashakots/39479
49,https://t.me/msgazdiev/1198?single
50,https://t.me/milchronicles/1818
51,https://t.me/voenacher/43432
52,https://t.me/voenacher/43433
53,https://t.me/vanek_nikolaev/13813
54,https://t.me/ssternenko/15362
55,https://t.me/epoddubny/15680
56,https://t.me/Ratnik2nd/4339
57,https://t.me/ssternenko/15344
58,https://t.me/rugbygroup/13
59,https://t.me/voin_dv/2506
60,https://t.me/aerobomber/96
61,https://t.me/btr80/6519
62,https://t.me/escadrone/188
63,https://t.me/supernova_plus/19488
64,https://t.me/nm_dnr/10246
65,https://t.me/mysiagin/21048
66,https://t.me/ZA_FROHT/16128
67,https://t.me/mod_russia/25846
68,https://t.me/HersonVestnik/16177
69,https://t.me/RVvoenkor/43282
70,https://t.me/mysiagin/21034
71,https://t.me/ssternenko/15298
72,https://t.me/riafan_everywhere/18044
73,https://t.me/soldiers_truth/8906
74,https://t.me/RtrDonetsk/16897
75,https://t.me/rusich_army/8494
76,https://t.me/rus_bakhmut/18536
77,https://t.me/bro571/118
78,https://t.me/donbass24_7/10310
79,https://t.me/epoddubny/15648
80,https://t.me/nm_dnr/10238
81,https://t.me/petrenko_IHS/1478
82,https://t.me/operativnoZSU/92280
83,https://t.me/Separ13_13/10928
84,https://t.me/k_2_54/95
85,https://t.me/operativnoZSU/92276
86,https://t.me/voin_dv/2474
87,https://t.me/ZA_FROHT/16066
88,https://t.me/btr80/6425
89,https://t.me/DeepStateUA/16368
90,https://t.me/BUAR110ombr/45
91,https://t.me/ZA_FROHT/16027
92,https://t.me/boris_rozhin/83344
93,https://t.me/andriyshTime/8763
94,https://t.me/HersonEnot/1098
95,https://t.me/supernova_plus/19391
96,https://t.me/FastFocus/47632
97,https://t.me/britishintelligence/7742
98,https://t.me/rian_ru/200117
99,https://t.me/faceofwar/29775
100,https://t.me/DeepStateUA/16342
101,https://t.me/izvestia/128629
102,https://t.me/razved_dozor/4070
103,https://t.me/pgo_gov_ua/11339
104,https://t.me/Bakhmut_2022/19643
105,https://t.me/aerobomber/91
106,https://t.me/karymat/2092
107,https://t.me/operativnoZSU/91637
108,https://t.me/OstashkoNews/65717
109,https://t.me/DeepStateUA/16322
110,https://t.me/DeepStateUA/16299
111,https://t.me/DeepStateUA/16299
112,https://t.me/Airborne1126/4217
113,https://t.me/RVvoenkor/42863
114,https://t.me/magomedov_mus/1975
115,https://t.me/umftteam/84
116,https://t.me/combat_cypress/711
117,https://t.me/nm_dnr/10210
118,https://t.me/lost_warinua/33707
119,https://t.me/soldiers_truth/8809
120,https://t.me/stranaua/100454
121,https://t.me/supernova_plus/19292
122,https://t.me/vladlentatarsky/20435
123,https://t.me/HersonVestnik/15986
124,https://t.me/astrahandm/8103
125,https://t.me/gimbatov34/1291
126,https://t.me/donbassrussiazvo/3599
127,https://t.me/voin_dv/2413
128,https://t.me/nm_dnr/10198
129,https://t.me/donbass24_7/9912
130,https://t.me/komdiv_76/847
131,https://t.me/RVvoenkor/42736
132,https://t.me/DeepStateUA/16292
133,https://t.me/vorposte/38495
134,https://t.me/RVvoenkor/42720
135,https://t.me/supernova_plus/19285
136,https://t.me/msgazdiev/1188
137,https://t.me/ChDambiev/23202
138,https://t.me/ZA_FROHT/15741
139,https://t.me/prizrak14btro/103
140,https://t.me/kaspiyskyberet/5814
141,https://t.me/supernova_plus/19262
142,https://t.me/Bakhmut_2022/19369
143,https://t.me/escadrone/164
144,https://t.me/brussinf/5862
145,https://t.me/wargonzo/11912
146,https://t.me/LPR_JCCC/8182
147,https://t.me/btr80/6243
148,https://t.me/Donbas_Operativniy/34786
149,https://t.me/yaremshooter/1248
150,https://t.me/ZA_FROHT/15633
151,https://t.me/omega_company3/2374
152,https://t.me/rus_bakhmut/18065
153,https://t.me/anna_news/48597
154,https://t.me/vrogov/8661
155,https://t.me/horevica/10858
156,https://t.me/ZA_FROHT/15593
157,https://t.me/operativnoZSU/90345
158,https://t.me/epoddubny/15471
159,https://t.me/komdiv_76/814
160,https://t.me/nm_dnr/10176
161,https://t.me/supernova_plus/19186
162,https://t.me/Bakhmut_2022/19153
163,https://t.me/donbass24_7/9754
164,https://t.me/zov_snb/13313
165,https://t.me/operativsvo/41919
166,https://t.me/operativnoZSU/90056
167,https://t.me/bro571/99
168,https://t.me/Shizik93/1631
169,https://t.me/anna_news/48520
170,https://t.me/supernova_plus/19169
171,https://t.me/mariupolnow/27751
172,https://t.me/rusich_army/8332
173,https://t.me/anna_news/48510
174,https://t.me/voin_dv/2352
175,https://t.me/razved_dozor/4006
176,https://t.me/landforcesofukraine/8113
177,https://t.me/DeepStateUA/16232
178,https://t.me/Bakhmut_2022/19008
